"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.25.139.150","18.97.36.14","TCP","54","63647  >  443 [ACK] Seq=1 Ack=1 Win=250 Len=0"
"2","0.002456","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.136.40? Tell 10.25.151.1"
"3","0.012943","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.138.93? Tell 10.25.151.1"
"4","0.012943","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.151.5? Tell 10.25.151.1"
"5","0.012943","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.139.149? Tell 10.25.151.1"
"6","0.012943","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.145.1? Tell 10.25.151.1"
"7","0.025674","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.156.1? Tell 10.25.151.1"
"8","0.025674","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.138.147? Tell 10.25.151.1"
"9","0.035915","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.140.196? Tell 10.25.151.1"
"10","0.035915","10.25.137.43","224.0.0.251","MDNS","82","Standard query 0xf6d7 PTR _quickshare._tcp.local, ""QM"" question"
"11","0.035915","fe80::6026:1fff:fe43:cc13","ff02::fb","MDNS","102","Standard query 0x51cb PTR _quickshare._tcp.local, ""QM"" question"
"12","0.049338","fe80::6026:1fff:fe43:cc13","ff02::fb","MDNS","102","Standard query 0x4c10 PTR _quickshare._tcp.local, ""QM"" question"
"13","0.049338","fe80::6026:1fff:fe43:cc13","ff02::fb","MDNS","102","Standard query 0x5517 PTR _quickshare._tcp.local, ""QM"" question"
"14","0.049338","10.25.137.43","224.0.0.251","MDNS","82","Standard query 0x0589 PTR _quickshare._tcp.local, ""QM"" question"
"15","0.087753","10.25.141.101","10.25.139.150","UDP","1238","46551  >  62910 Len=1196"
"16","0.111898","10.25.137.43","224.0.0.251","MDNS","82","Standard query 0x4164 PTR _quickshare._tcp.local, ""QM"" question"
"17","0.113171","fe80::6026:1fff:fe43:cc13","ff02::fb","MDNS","102","Standard query 0x4164 PTR _quickshare._tcp.local, ""QM"" question"
"18","0.128703","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.151.185? Tell 10.25.151.1"
"19","0.151828","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.140.47? Tell 10.25.151.1"
"20","0.218594","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.141.78? Tell 10.25.151.1"
"21","0.218594","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.138.162? Tell 10.25.151.1"
"22","0.218594","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.141.153? Tell 10.25.151.1"
"23","0.218594","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.138.49? Tell 10.25.151.1"
"24","0.218594","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.157.1? Tell 10.25.151.1"
"25","0.218594","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.138.117? Tell 10.25.151.1"
"26","0.229619","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.140.46? Tell 10.25.151.1"
"27","0.229619","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.158.1? Tell 10.25.151.1"
"28","0.229619","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.129.0? Tell 10.25.151.1"
"29","0.229619","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.159.1? Tell 10.25.151.1"
"30","0.229619","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.136.175? Tell 10.25.151.1"
"31","0.229619","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.140.106? Tell 10.25.151.1"
"32","0.229619","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.138.222? Tell 10.25.151.1"
"33","0.229619","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.138.230? Tell 10.25.151.1"
"34","0.234634","10.25.139.150","10.25.141.101","UDP","80","62910  >  46551 Len=38"
"35","0.234946","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.138.192? Tell 10.25.151.1"
"36","0.234946","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.143.1? Tell 10.25.151.1"
"37","0.234946","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.142.1? Tell 10.25.151.1"
"38","0.247856","26:18:cd:8a:e0:56","Broadcast","ARP","60","Gratuitous ARP for 10.25.138.36 (Reply)"
